id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
2108,CURLEONWAVEPNK-9054,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 90 x 54 Inches (SF1621G),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2972
2109,CURLEONWAVEPNK-9072,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 90 x 72 Inches (SF1621H),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2110,CURLEONWAVEPNK-9090,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Pink - 90 x 90 Inches (SF1621I),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,4362
2111,CURLEONWAVEPNK-TIE,Leon Wave (9579) - Tie Back Pair - Pink (SF1622),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,200
2112,CURLIN-4452,Blackout  Curtain Lining Pair - 44 x 52 (SF1303A),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,678
2113,CURLIN-4470,Blackout  Curtain Lining Pair - 44 x 70 (SF1303B),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,791
2114,CURLIN-4488,Blackout  Curtain Lining Pair - 44 x 88 (SF1303C),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,950
2115,CURLIN-6452,Blackout  Curtain Lining Pair - 64 x 52 (SF1303D),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,863
2116,CURLIN-6470,Blackout  Curtain Lining Pair - 64 x 70 (SF1303E),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,950
2117,CURLIN-6488,Blackout  Curtain Lining Pair - 64 x 88 (SF1303F),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,1117
2118,CURLIN-9052,Blackout  Curtain Lining Pair - 90 x 52 (SF1303G),5.05597E+12,Curtains,HOMEX,e1278212-31a7-46d2-a50c-ca7c167777c2,0,0,0,1055
