"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"9128","BT1302C","H-TOW03503KIN","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9129","BT1303C","H-TOW03503SEA","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9130","BT1304C","H-TOW03503ST","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9131","BT1305C","H-TOW03503WH","8.99","8.99","11.99","11.99","11.99","11.99","13.90","13.90",,"13.90"
"9132","BT1297D","H-TOW03504APP","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9133","BT1298D","H-TOW03504BUR","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9134","BT1299D","H-TOW03504CH","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9135","BT1300D","H-TOW03504GRE","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9136","BT1301D","H-TOW03504HON","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9137","BT1302D","H-TOW03504KIN","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9138","BT1303D","H-TOW03504SEA","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9139","BT1304D","H-TOW03504ST","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9140","BT1305D","H-TOW03504WH","14.99","14.99","18.99","18.99","18.99","18.99","19.90","19.90",,"19.90"
"9141","BT1297E","H-TOW03505APP","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9142","BT1298E","H-TOW03505BUR","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9143","BT1299E","H-TOW03505CH","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9144","BT1300E","H-TOW03505GRE","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9145","BT1301E","H-TOW03505HON","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9146","BT1302E","H-TOW03505KIN","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9147","BT1303E","H-TOW03505SEA","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9148","BT1304E","H-TOW03505ST","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9149","BT1305E","H-TOW03505WH","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9150","BT1306","H-TOW03506APP","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9151","BT1307","H-TOW03506BUR","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9152","BT1308","H-TOW03506CH","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9153","BT1309","H-TOW03506GRE","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9154","BT1310","H-TOW03506HON","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9155","BT1311","H-TOW03506KIN","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9156","BT1312","H-TOW03506SEA","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9157","BT1313","H-TOW03506ST","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9158","BT1314","H-TOW03506WH","8.49","8.49","10.99","10.99","10.99","10.99","13.40","13.40",,"13.40"
"9159","BT1315A","H-TOW14701BUR","1.99","1.99","2.49","2.49","2.49","2.49","6.90","6.90",,"6.90"
"9160","BT1316A","H-TOW14701MUS","1.99","1.99","2.49","2.49","2.49","2.49","6.90","6.90",,"6.90"
